packageName,className,value
root,clkao,9414
root,au,4470
root,ETBlue,2832
root,tkirby,2356
root,hychen,1915
root,hlb,1815
root,ipa,1388
root,mindos,1299
root,favonia,1196
root,billy3321,1159
root,lijung,1046
root,kcwu,1000
root,opop,887
root,walkingice,561
root,ronnywang,460
root,chhsiao1981,424
root,Jedi,364
root,caasiHuang,354
root,gugod,347
root,a-tsioh,334
root,yhsiang,322
root,jimmy,318
root,c9s,299
root,thschee,280
root,Jcrt,254
root,dirty_,237
root,tka,232
root,shelling,211
root,iamblue,203
root,clifflu,195
root,V1ctor,195
root,medicalwei,191
root,NickChang,182
root,hcchien,177
root,CindyLinz,176
root,miaout17,156
root,evenwu,155
root,wHisKy,144
root,S3p_lin,139
root,pcchen,128
root,nchild,121
root,superbil,121
root,MnO2,120
root,yllan,119
root,edwardc,116
root,xdite,114
root,pingooo,114
root,ttcat,111
root,weblink_,108
root,dannvix,103
root,markwu,94
root,dryman,83
root,albb0920,82
root,Stranger_1980,81
root,KNY,81
root,momizi,78
root,KenNaiLo,77
root,ca,76
root,jimyhuang,74
root,Sorry,74
root,tuiry,74
root,cls_bsd,72
root,pm5,72
root,mikimoto,68
root,Wush,63
root,Bestian,60
root,bobchao,60
root,Johnny5TW,59
root,tonyq__,58
root,lxb,55
root,Supaplextw,55
root,DaPonte,52
root,ctf_,50
root,ETWu,50
root,ck,48
root,lwhsu,45
root,g0v_idea_bot,44
root,ericyu,43
root,mjhsieh,43
root,cpyang,43
root,zonble,42
root,kanru,41
root,jabbot,38
root,isabel,37
root,raejin,37
root,timdream,36
root,jpsun,36
root,Conrad,36
root,gittrac,34
root,mutolisp,34
root,FourDollars,33
root,adaam,32
root,tonytonyjan,32
root,godfat,32
root,Goddamn,32
root,soidid,31
root,lanfon72,30
root,mhs1n,30
root,yoyosoco,28
root,LittleQNCCU,28
root,zvn,27
root,Chitat,27
root,ythsu,27
root,bater,26
root,mingtsay,26
root,hSATAC,26
root,juanna,26
root,ddio,25
root,wayne930242,25
root,pm5_,23
root,Howar31,23
root,jeffhung,22
root,j100002ben,22
root,BlueT_,22
root,wychi,22
root,SarsTW,21
root,recca_,21
root,rad,20
root,cea,20
root,Toby_,19
root,KCLiu,19
root,untitledc,18
root,GitHub,18
root,chihchun,17
root,racklin,17
root,Tacoball,17
root,chitsaou,17
root,Guest57362,16
root,jftsai,16
root,Ranger,15
root,bananapple,14
root,Silmarils,14
root,shelling_lab,14
root,evan3rd,13
root,copyleft,13
root,shenghsiu,13
root,dreamslucy,13
root,Dennisc140,13
root,Tunghua,13
root,ETBlue-kiwi,13
root,iMic,13
root,shawnwang,12
root,hinet60613,12
root,icman,12
root,wen,12
root,XDDDD,12
root,shell909090,12
root,PipperL,12
root,ccb,11
root,tonypai,10
